round;sample;ID_plate;centroid_1;centroid_2;growth_rate;peaks;circularity;eccentricity;RGB_mean_1;RGBt_mean_2;RGBt_mean_3;RGBt_std_1;RGBt_std_2;RGBt_std_3;Lab_mean_1;Lab_mean_2;Lab_mean_3;Lab_std_1;Lab_std_2;Lab_std_3;Labt_mean_1;Labt_mean_2;Labt_mean_3;Labt_std_1;Labt_std_2;Labt_std_3;activity_total
2;40ul-nr1;9-13;1155;914;0,06820874;9;0,7161;0,21477;133,1451;103,5526;94,81579;18,6536;11,3607;8,83132;44,7841;13,3169;9,78366;3,51536;2,11169;1,89085;47,5309;14,4927;11,1117;5,2377;2,60436;2,64212;0
2;40ul-nr1;9-15;1236;1218;0,638180698;15;0,96679;0,31133;246,523;207,1585;180,6341;39,1093;51,4214;49,1648;88,1592;6,23276;19,3999;11,295;7,8824;6,94593;84,6233;6,43992;17,1471;17,5369;8,03148;7,17705;1
2;40ul-nr1;9-2;661;1458;0;7;1,0106;0,41313;199,5314;130,6842;112,7368;30,7197;12,4501;8,14345;60,8986;25,0911;20,345;6,73079;7,00606;5,30943;62,4696;28,3046;22,4839;6,70062;7,03356;5,44157;0
2;40ul-nr1;9-5;748;1491;0,343692036;15;1,0183;0,1341;248,3652;233,2453;226,6415;20,4553;28,3521;30,4972;92,1715;5,98587;5,38468;10,2868;4,87418;4,83911;93,5207;4,86705;5,40894;9,6103;4,17701;4,41654;0
2;40ul-nr1;9-6;817;388;0,186247153;15;0,9873;0,1881;246,981;228,6593;204,8901;17,434;25,0618;31,6275;89,927;4,70284;15,9192;10,8653;6,30095;7,84086;92,0164;4,20054;14,5149;8,13802;5,32813;8,93314;1
2;40ul-nr1;9-7;880;296;0,177161902;17;0,94504;0,30858;235,3299;220,7263;193,6;31,51;35,4279;31,6636;85,598;4,79335;16,205;14,3388;5,90999;8,69118;89,132;4,07532;16,3009;12,15;6,22055;7,34183;1
2;40ul-nr2;10-11;1204;1386;0,827637528;24;0,96145;0,12698;191,9713;148,5643;121,0929;35,3922;43,2281;43,5469;62,0875;17,0421;22,7942;11,374;4,49158;3,8642;65,4786;15,7852;22,2874;14,9037;6,88396;4,93556;1
2;40ul-nr2;10-15;1303;1029;0,126274819;15;1,0308;0,1483;247,0772;229,5472;222,5472;20,8991;30,3502;33,3649;90,0511;7,59041;8,17397;10,61;5,86342;6,32463;92,4827;5,99363;6,07541;10,1089;5,00016;5,20145;0
2;40ul-nr2;10-17;1399;747;0,166986331;14;1,0572;0,2611;195,5016;155,1724;141,8621;21,9748;13,9542;11,5472;65,9083;15,218;13,4066;5,8548;3,29843;2,8421;68,2971;16,7003;14,1804;5,95891;3,05078;2,54163;0
2;40ul-nr2;10-19;1497;1082;0,971614796;16;0,9594;0,2856;232,8255;223,4458;214,3373;35,8726;43,5944;46,2098;85,8506;5,65005;9,18843;17,651;5,25585;6,24133;89,8975;4,8302;6,83086;15,3327;4,24894;5,9572;1
2;40ul-nr2;10-6;911;1440;0,883146809;18;1,0082;0,059965;241,7865;224,1739;214,5072;28,2545;39,9904;45,6552;88,4814;6,39687;10,3286;14,2371;6,56559;7,48918;90,4484;5,71544;7,52934;13,5261;5,34815;7,19895;1
2;40ul-nr3;11-1;485;958;0,069397119;17;0,9209;0,30138;197,6679;162,2705;141,1885;32,3475;19,7815;15,6201;66,1792;14,8216;16,8632;8,87668;4,08209;3,97121;71,1958;17,3436;18,8046;8,53954;4,37913;3,91248;0
